subject_id,ethnic_group,sex,marital_status,territorial_section,school_yrs,town_yrs,kidnap
1,0,0,1,0,0,0,0
2,0,1,2,0,11,0,1
3,0,0,1,0,0,30,0
4,0,0,1,0,6,0,0
5,0,0,1,0,8,1,0
6,0,0,1,0,0,0,0
7,0,1,1,0,5,0,0
8,0,0,1,0,0,0,0
9,0,1,1,0,0,20,0
10,0,1,1,0,1,0,0
11,0,1,1,0,0,15,0
12,0,1,1,0,0,30,0
13,0,1,0,0,7,30,0
14,0,1,1,0,0,30,0
15,0,1,1,0,0,20,0
16,0,0,1,0,5,0,0
17,0,1,1,0,0,0,0
18,0,0,1,0,0,0,0
19,0,0,4,0,0,0,0
20,0,0,1,0,4,0,1
21,0,0,1,0,5,20,0
22,0,0,1,0,0,5,0
23,0,1,0,0,8,0,0
24,0,1,1,0,7,31,0
25,0,1,1,0,12,0,0
26,0,0,4,0,1,2,0
27,0,1,1,0,0,7,0
28,0,0,1,0,0,0,1
29,0,1,1,0,6,20,0
30,0,1,1,0,7,17,0
31,0,1,1,0,0,4,1
32,0,0,0,0,4,2,0
33,0,0,1,0,0,0,0
34,0,0,1,0,0,4,0
35,0,0,4,0,0,6,0
36,0,0,1,0,0,0,0
37,0,0,4,0,0,0,0
38,0,0,2,0,8,17,0
39,0,0,1,0,0,1,0
40,0,1,1,0,0,3,0
41,0,0,1,0,12,18,0
42,0,0,1,0,0,0,0
43,0,0,1,0,7,0,0
44,0,0,4,0,0,0,0
45,0,0,4,0,7,0,0
46,0,0,1,0,0,0,0
47,0,1,1,0,8,0,0
48,0,1,1,0,7,0,0
49,0,1,1,0,7,0,0
50,0,1,1,0,5,0,0
51,0,0,1,0,12,0,0
52,0,1,1,0,0,0,0
53,0,1,1,0,0,0,0
54,0,1,1,0,0,0,0
55,0,1,1,0,0,0,0
56,0,1,1,0,0,0,0
57,0,0,0,0,0,0,0
58,0,1,1,0,0,20,0
59,0,1,1,0,0,0,0
60,0,1,1,0,0,0,0
61,0,1,1,0,0,0,0
62,0,1,1,0,0,0,0
63,0,0,1,0,0,30,0
64,0,1,1,0,0,0,0
65,0,1,1,0,0,0,0
66,0,1,1,0,0,0,0
67,0,0,1,0,0,0,0
68,0,0,1,0,0,0,0
69,0,0,1,0,8,20,0
70,0,0,1,0,0,0,1
71,0,1,1,0,5,17,1
72,0,1,1,0,5,0,0
73,0,0,1,0,0,0,0
74,0,0,1,0,0,0,0
75,0,0,1,0,0,22,0
76,0,0,1,0,0,0,1
77,0,1,1,0,8,12,0
78,0,0,4,0,0,0,0
79,0,1,1,0,0,20,0
80,0,0,1,0,6,20,1
81,0,0,1,0,3,0,0
82,0,0,0,0,0,20,0
83,0,0,1,0,3,0,0
84,0,1,1,0,0,22,0
85,0,0,1,0,0,20,0
86,0,1,1,0,5,26,0
87,0,1,1,0,12,0,0
88,0,0,1,0,0,6,0
89,0,1,1,0,13,3,0
90,0,1,1,0,0,20,0
91,0,1,1,0,14,7,0
92,0,1,1,0,0,0,0
93,0,1,1,0,0,0,0
94,0,0,1,0,9,1,0
95,0,0,0,0,0,10,1
96,0,1,1,0,0,0,0
97,0,1,1,0,7,0,0
98,0,0,0,0,8,9,0
99,0,1,1,0,12,12,0
100,0,1,1,0,0,2,0
101,0,0,0,0,0,0,1
102,0,1,1,0,0,0,0
103,1,0,1,0,0,0,1
104,1,0,1,0,3,1,1
105,1,0,4,0,0,5,1
106,1,1,1,0,0,4,0
107,1,0,1,0,0,0,1
108,1,1,1,0,0,0,1
109,1,0,1,0,0,4,1
110,1,0,1,0,0,4,1
111,1,1,1,0,0,0,1
112,1,1,1,0,0,2,1
113,1,0,4,0,0,0,1
114,1,0,1,0,0,0,1
115,1,1,1,0,0,0,1
116,1,0,1,0,0,0,1
117,1,0,1,0,0,1,1
118,1,0,4,0,3,0,1
119,1,0,4,0,0,15,1
120,1,0,1,0,0,5,1
121,1,0,4,0,0,19,1
122,1,0,1,0,0,0,1
123,1,1,1,0,0,0,1
124,1,1,1,0,0,0,1
125,1,0,4,0,0,1,1
126,1,1,1,0,0,0,1
127,1,1,1,0,0,0,1
128,1,1,1,0,0,6,1
129,1,0,1,0,0,0,1
130,1,0,1,0,0,0,1
131,1,0,1,0,3,4,1
132,1,0,1,0,0,0,1
133,1,0,1,0,0,0,1
134,1,0,4,0,0,0,1
135,1,0,1,0,0,0,1
136,1,1,1,0,0,0,1
137,1,1,1,0,1,2,1
138,1,1,1,0,0,0,0
139,1,0,1,0,0,3,1
140,1,1,1,0,0,8,0
141,1,0,1,0,0,3,1
142,1,0,1,0,0,5,1
143,1,0,1,0,1,2,0
144,1,0,1,0,0,0,1
145,1,1,1,0,0,0,1
146,1,1,1,0,0,0,1
147,1,1,1,0,0,0,1
148,1,1,1,0,0,0,1
149,1,0,1,0,0,0,1
150,1,0,1,0,0,0,1
151,1,0,1,0,0,0,1
152,1,0,1,0,0,0,1
153,1,1,1,0,0,0,1
154,1,0,1,0,0,2,1
155,1,0,1,0,0,0,1
156,1,0,1,0,0,3,1
157,1,1,1,0,0,0,1
158,1,1,1,0,16,6,1
159,1,0,1,0,0,0,1
160,1,1,1,0,0,0,1
161,1,1,1,0,0,0,1
162,1,0,1,0,2,3,1
163,1,0,1,0,0,0,1
164,1,0,4,0,0,0,1
165,1,1,1,0,0,8,1
166,1,0,1,0,0,0,1
167,1,1,1,0,0,0,1
168,1,1,1,0,0,0,1
169,1,0,1,0,0,0,1
170,1,0,1,0,0,0,0
205,1,0,1,0,0,0,1
206,1,0,1,0,0,0,1
207,1,0,1,0,0,0,1
208,1,1,1,0,0,0,1
209,1,1,1,0,0,3,1
210,1,0,1,0,0,20,1
211,1,0,1,0,0,0,1
212,1,0,1,0,0,0,1
213,1,0,4,0,1,10,1
214,1,1,1,0,0,25,1
215,1,0,4,0,0,0,1
216,1,0,1,0,0,0,0
217,1,0,1,0,0,0,1
218,1,0,1,0,0,0,1
219,1,1,1,0,0,0,1
220,1,0,4,0,0,0,1
221,1,1,1,0,0,1,0
222,1,1,1,0,0,10,0
223,1,1,1,0,0,4,0
224,1,1,1,0,0,0,1
225,1,1,1,0,0,10,1
226,1,1,1,0,0,0,1
227,1,0,1,0,0,0,1
228,1,1,1,0,0,0,1
229,1,0,4,0,0,0,1
230,1,0,1,0,0,1,1
231,1,0,1,0,0,0,1
232,1,0,4,0,0,10,1
233,1,0,0,0,0,0,1
234,1,0,1,0,0,1,1
235,1,0,4,0,0,0,1
236,1,0,4,0,0,0,1
237,1,0,4,0,0,2,1
238,1,0,1,0,0,10,1
239,2,1,1,0,8,4,1
240,2,1,1,0,0,0,1
241,2,0,4,0,0,5,1
242,2,1,1,0,0,0,1
243,2,0,1,0,0,0,1
244,2,0,4,0,0,0,1
245,2,0,4,0,4,15,1
246,2,0,1,0,0,0,1
247,2,0,4,0,0,3,1
248,2,0,1,0,0,0,1
249,2,0,4,0,0,0,1
250,2,0,1,0,6,0,1
251,2,0,4,0,0,1,1
252,2,0,1,0,1,0,1
253,2,0,1,0,0,0,1
254,2,0,1,0,12,15,1
255,2,1,1,0,7,0,1
256,2,1,1,0,0,0,1
257,2,0,1,0,0,7,1
258,2,0,4,0,0,0,0
259,2,0,4,0,0,15,0
260,2,0,1,0,3,10,1
261,2,1,1,0,5,0,1
262,2,1,4,0,0,0,1
263,2,0,1,0,0,0,0
264,2,0,4,0,0,0,1
266,2,0,0,0,0,0,0
267,2,1,1,0,0,0,0
268,2,1,1,0,0,0,0
269,2,0,1,0,0,0,0
270,2,1,1,0,0,0,0
271,2,1,1,0,0,0,1
272,2,1,1,0,0,0,1
273,2,1,1,0,14,0,1
274,2,1,1,0,3,0,0
275,2,1,1,0,6,0,0
276,2,1,1,0,8,0,0
277,2,1,1,0,0,0,1
278,2,1,1,0,0,0,0
279,2,0,1,0,0,0,1
280,2,0,1,0,0,0,1
281,2,1,1,0,0,0,1
282,2,0,4,0,0,0,1
283,2,0,1,0,0,0,0
284,2,1,1,0,12,0,0
285,2,1,1,0,0,0,0
286,2,1,1,0,0,0,1
287,2,1,1,0,0,0,0
288,2,1,1,0,0,0,0
289,2,1,1,0,0,0,1
290,2,0,4,0,0,11,0
291,2,0,1,0,4,4,1
292,2,1,1,0,0,0,0
293,2,1,1,0,0,0,0
294,2,1,1,0,2,3,0
295,2,1,1,0,0,0,0
296,2,1,1,0,0,0,0
297,2,1,1,0,0,0,0
298,2,0,1,0,3,7,1
299,2,1,1,0,0,35,0
300,2,0,1,0,0,0,0
301,2,1,1,0,4,0,1
302,2,0,1,0,0,0,0
303,2,1,1,0,6,0,1
304,2,0,1,0,0,3,0
305,2,0,1,0,0,0,0
307,2,1,1,0,1,1,1
309,2,1,1,0,0,0,0
310,2,1,1,0,0,0,0
311,2,0,1,0,0,0,0
312,2,1,1,0,0,0,1
313,2,1,1,0,0,0,0
314,2,1,1,0,0,0,0
315,2,1,1,0,8,0,1
316,2,0,1,0,0,20,0
317,2,0,1,0,0,0,0
318,2,0,1,0,0,0,0
319,2,0,1,0,0,3,0
320,2,1,1,0,0,3,0
321,2,0,1,0,0,1,1
322,2,0,1,0,0,0,1
323,2,0,1,0,0,6,0
324,2,0,1,0,0,2,0
325,2,0,1,0,0,18,0
326,2,0,1,0,0,0,0
327,2,1,2,0,0,0,1
328,2,0,1,0,0,0,0
329,2,1,1,0,0,0,0
330,2,1,2,0,4,5,0
331,2,0,1,0,0,4,1
332,2,0,1,0,0,6,0
333,2,0,1,0,0,0,0
334,2,0,1,0,0,0,0
335,2,0,1,0,0,0,0
336,2,1,2,0,7,5,0
337,2,0,1,0,3,0,0
338,2,0,1,0,0,0,1
339,2,1,1,0,0,0,0
340,2,1,1,0,0,35,0
341,2,1,1,0,0,20,0
342,3,1,3,3,1,12,1
343,3,1,2,3,0,2,1
344,3,1,2,3,0,1,0
345,3,0,2,3,0,0,1
346,3,0,1,3,0,0,1
347,3,0,1,3,0,0,1
348,3,0,3,3,0,0,1
349,3,0,3,3,0,0,1
350,3,0,3,3,0,0,1
351,3,1,3,3,0,0,1
352,3,0,1,3,0,0,1
353,3,0,1,3,0,0,1
354,3,0,1,3,0,0,0
355,3,0,3,3,0,1,0
356,3,0,3,3,0,0,1
357,3,0,1,3,0,5,1
358,3,0,1,3,0,0,1
359,3,0,1,3,0,2,1
360,3,1,3,3,0,0,1
361,3,0,1,3,0,0,1
362,3,0,1,3,0,0,1
363,3,0,1,3,0,0,0
364,3,0,1,2,0,0,1
365,3,0,3,2,0,0,1
366,3,0,3,2,1,0,1
367,3,0,1,2,0,0,1
368,3,1,1,2,0,0,1
369,3,0,1,2,0,0,1
370,3,0,3,2,3,2,1
371,3,0,1,2,0,0,1
372,3,1,1,2,0,0,1
373,3,1,3,2,1,2,1
374,3,1,2,2,0,0,1
375,3,0,3,2,0,5,1
376,3,1,3,2,7,4,1
377,3,0,1,2,0,0,1
378,3,0,1,2,0,0,1
379,3,0,1,2,0,0,1
380,3,1,3,2,2,18,1
381,3,1,3,2,1,0,1
382,3,0,1,2,0,0,1
383,3,0,1,2,0,0,1
384,3,1,1,2,0,1,1
385,3,1,3,2,1,0,1
386,3,1,2,2,8,12,1
387,3,0,1,2,1,0,1
388,3,1,1,2,0,0,1
389,3,1,1,2,3,15,1
390,3,0,3,2,0,0,1
391,3,1,1,2,0,20,1
392,3,0,3,2,0,0,1
393,3,0,1,2,0,0,0
394,3,1,1,2,0,0,1
395,3,1,1,2,0,0,1
396,3,0,1,2,0,0,0
397,3,0,3,2,0,0,1
398,3,0,1,2,0,0,1
399,3,0,3,2,0,0,1
400,3,0,1,2,0,0,0
401,3,0,1,2,0,20,0
402,3,0,1,3,0,0,1
403,3,0,1,3,0,0,0
404,3,1,1,3,0,0,0
405,3,0,3,3,0,0,1
406,3,0,3,3,0,0,1
407,3,0,1,3,0,0,1
408,3,1,1,3,0,2,1
409,3,0,3,3,0,0,1
410,3,0,3,3,4,15,1
411,3,0,1,3,5,5,1
412,3,0,3,3,0,0,0
413,3,0,3,3,0,0,1
414,3,0,3,3,0,0,1
415,3,1,1,3,0,0,1
416,3,0,3,3,0,0,1
417,3,0,1,3,0,0,1
418,3,1,1,3,0,0,1
419,3,1,1,1,0,10,1
420,3,0,1,1,0,10,1
421,3,0,1,1,0,0,0
422,3,1,1,1,3,17,1
423,3,0,1,1,3,18,1
424,3,0,1,1,0,14,1
425,3,1,2,1,0,0,0
426,3,0,1,1,0,0,1
427,3,0,1,1,1,14,1
428,3,0,3,1,0,0,0
429,3,0,1,1,0,0,1
430,3,0,1,1,0,0,1
431,3,0,1,1,0,0,1
432,3,0,3,1,0,0,0
433,3,0,1,1,0,0,1
434,3,0,1,1,0,0,0
435,3,1,1,1,0,0,0
436,3,0,1,1,0,0,0
437,3,0,1,1,0,0,1
438,3,0,1,1,0,0,1
439,3,0,1,1,0,0,0
440,3,1,1,1,0,0,1
441,3,0,1,1,0,0,0
442,3,0,2,1,0,0,1
443,3,0,3,1,0,0,1
444,3,1,3,1,0,0,1
445,3,1,1,1,0,0,1
446,3,0,1,1,0,0,0
447,3,1,1,1,0,0,0
448,3,0,1,1,1,1,1
449,3,1,3,1,3,3,0
450,3,1,1,1,0,0,0
451,3,1,3,1,0,0,0
452,3,0,3,1,0,0,1
453,3,0,3,1,0,0,1
454,3,0,3,1,0,10,0
455,3,0,3,1,0,0,0
456,3,1,1,1,0,0,1
457,3,0,3,1,0,0,0
458,3,1,1,1,0,0,1
459,3,1,3,1,0,1,1
460,3,0,3,1,1,20,1
461,3,0,3,1,0,0,1
462,3,0,2,1,0,0,1
463,3,0,1,1,0,0,1
464,3,0,1,1,0,0,0
465,3,0,1,1,0,1,1
466,3,1,1,1,0,0,1
467,3,1,3,1,0,34,0
468,3,1,2,1,0,0,0
469,3,0,3,3,0,0,1
470,3,1,3,3,0,0,0
471,3,0,1,3,0,0,0
472,3,0,1,3,0,0,1
473,3,0,1,3,0,2,1
474,3,0,1,3,0,0,1
475,3,1,3,3,0,0,0
476,3,0,2,3,3,5,1
477,3,0,3,3,0,0,1
478,3,0,1,3,0,0,1
