ETHNIC_GROUP,SUBJECT_ID,RA_INTERVIEWING,SITE,SEX,AGESET,TERRITORIAL_SECTION,MARITAL_STATUS,AGEMATE_NO_REPORT,RAIDING_BLESSINGS,JOKE,SCOLD,HOST,EXCOMMUNICATED,CIRCUMCISED,KILL_WOMEN,SKIN_TUCK,RAID_INNOCENT,MOTHER_CARE,WELL,UNMARRIED_RAID,RECONCILIATION,EXTENDED,MURDER_KILL,KIDNAP,SHAVE,HUSBAND_RAPE,STRANGER_AGEMATE,VIOLATE_PEACE,ADOPTION,UMBILICAL,LOVING_FATHER,COWARD,FIRE,POOR_WOMAN,SUICIDE,MANYATTA_INITIATION,INTESTINES,INFO_GRAZE,COWARD_SHAME,RAID_PRESSURE,NEIGHBOR_CHILD,SONG,SELFISH,DONKEY,RESCUE,VISITOR_SLAUGHTER,FIND_MARK,BEAT_AGEMATES,SHEEP,REFUSE_POOR,HUNGER_STEAL,LADY_FOOD,WOUNDED,MANYATTA_JUNIORS,FATHERS_AREA,SICK,ATTEND_SCHOOL,SCHOOL_LOCATION,SCHOOL_YRS,TOWN,TOWN_LOCATION,TOWN_YRS
Borana,CARLA_HUSSEIN-2015-10-01-11-55,Carla,KINNA,FEMALE,Dambal Bulle,999,MARRIED,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,NO,999,0,NO,999,0
Borana,CARLA_HUSSEIN-2015-10-02-10-20,Carla,KINNA,MALE,999,999,SINGLE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,YES,WITHIN_BORANA,11,NO,999,0
Borana,CARLA_HUSSEIN-2015-10-03-10-55,Carla,KINNA,FEMALE,Dambal Bulle,999,MARRIED,AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,NO,999,0,YES,WITHIN_BORANA,30
Borana,CARLA_HUSSEIN-2015-10-06-12-50,Carla,KINNA,FEMALE,999,999,MARRIED,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,YES,WITHIN_BORANA,6,NO,999,0
Borana,CARLA_HUSSEIN-2015-10-06-14-55,Carla,KINNA,FEMALE,999,999,MARRIED,AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,YES,WITHIN_BORANA,8,YES,WITHIN_BORANA,1
Borana,CARLA_HUSSEIN-2015-10-08-11-48,Carla,KINNA,FEMALE,999,999,MARRIED,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,NO,999,0,NO,999,0
Borana,CARLA_HUSSEIN-2015-10-08-13-12,Carla,KINNA,MALE,Goba Bulle,999,MARRIED,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,YES,WITHIN_BORANA,5,NO,999,0
Borana,CARLA_HUSSEIN-2015-10-11-11-23,Carla,KINNA,FEMALE,999,999,MARRIED,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,NO,999,0,NO,999,0
Borana,CARLA_HUSSEIN-2015-10-11-15-34,Carla,KINNA,MALE,Dambal Bulle,999,MARRIED,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,NO,999,0,YES,WITHIN_BORANA,20
Borana,CARLA_HUSSEIN-2015-10-13-11-10,Carla,KINNA,MALE,Wakor Wako,999,MARRIED,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,YES,WITHIN_BORANA,1,NO,999,0
