"agemate_no_report","ethnic_group","sex","marital_status","territorial_section","attend_school","school_yrs","town","town_yrs"
0,0,0,1,0,0,0,0,0
0,0,1,2,0,1,11,0,0
0,0,0,1,0,0,0,1,30
0,0,0,1,0,1,6,0,0
0,0,0,1,0,1,8,1,1
0,0,0,1,0,0,0,0,0
0,0,1,1,0,1,5,0,0
0,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,1,20
0,0,1,1,0,1,1,0,0
0,0,1,1,0,0,0,1,15
0,0,1,1,0,0,0,1,30
0,0,1,0,0,1,7,1,30
0,0,1,1,0,0,0,1,30
0,0,1,1,0,0,0,1,20
0,0,0,1,0,1,5,0,0
0,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,4,0,0,0,0,0
0,0,0,1,0,1,4,0,0
0,0,0,1,0,1,5,1,20
0,0,0,1,0,0,0,1,5
0,0,1,0,0,1,8,0,0
0,0,1,1,0,1,7,1,31
0,0,1,1,0,1,12,0,0
0,0,0,4,0,1,1,1,2
0,0,1,1,0,0,0,1,7
0,0,0,1,0,0,0,0,0
0,0,1,1,0,1,6,1,20
0,0,1,1,0,1,7,1,17
0,0,1,1,0,0,0,1,4
0,0,0,0,0,1,4,1,2
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,1,4
0,0,0,4,0,0,0,1,6
0,0,0,1,0,0,0,0,0
0,0,0,4,0,0,0,0,0
0,0,0,2,0,1,8,1,17
0,0,0,1,0,0,0,1,1
0,0,1,1,0,0,0,1,3
0,0,0,1,0,1,12,1,18
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,7,0,0
0,0,0,4,0,0,0,0,0
0,0,0,4,0,1,7,0,0
0,0,0,1,0,0,0,0,0
0,0,1,1,0,1,8,0,0
0,0,1,1,0,1,7,0,0
0,0,1,1,0,1,7,0,0
0,0,1,1,0,1,5,0,0
0,0,0,1,0,1,12,0,0
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,1,20
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,1,30
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,8,1,20
0,0,0,1,0,0,0,0,0
0,0,1,1,0,1,5,1,17
0,0,1,1,0,1,5,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,1,22
